Vtrue_ktas,AMprs_inHG,AMtmp_degC,curnt___lb,alpha__deg
243.40161,24.0479,4.77228,38514.52344,-0.004
243.20638,24.04786,4.77221,38513.95312,0.00087
243.01161,24.04783,4.77213,38513.38672,0.00597
242.82008,24.0478,4.77206,38512.81641,0.01083
242.63046,24.04776,4.77199,38512.25,0.01512
242.44719,24.04773,4.77192,38511.68359,0.02057
242.26355,24.0477,4.77185,38511.11719,0.02538
242.08476,24.04767,4.77178,38510.55469,0.03009
241.90556,24.04763,4.77171,38509.98438,0.03463
241.73042,24.0476,4.77164,38509.41797,0.03922
241.55493,24.04757,4.77158,38508.85156,0.04379
241.38353,24.04754,4.77151,38508.28516,0.0475
241.214,24.04752,4.77146,38507.71484,0.05298
241.04428,24.04749,4.7714,38507.14844,0.05745
240.87819,24.04746,4.77134,38506.57812,0.06163
240.71341,24.04744,4.77129,38506.01562,0.06611
240.54916,24.04741,4.77123,38505.44922,0.07053
240.38876,24.04738,4.77118,38504.88672,0.07475
240.23119,24.04736,4.77113,38504.31641,0.07894
240.07222,24.04734,4.77108,38503.75391,0.08342
239.91765,24.04732,4.77103,38503.18359,0.08727
239.76297,24.04729,4.77098,38502.62109,0.09074
239.61284,24.04727,4.77094,38502.05469,0.0958
239.46008,24.04725,4.7709,38501.48828,0.09997
239.31252,24.04723,4.77085,38500.92188,0.10358
239.16469,24.04721,4.7708,38500.35547,0.10777
239.02016,24.04719,4.77075,38499.78906,0.11152
238.87932,24.04717,4.77071,38499.22266,0.11535
238.73885,24.04715,4.77066,38498.65625,0.11927
238.60031,24.04713,4.77062,38498.08594,0.12295
238.46225,24.04711,4.77058,38497.52344,0.12655
238.32681,24.04708,4.77053,38496.96094,0.13029
238.19237,24.04706,4.77049,38496.38672,0.13404
238.02789,24.04704,4.77044,38495.82812,0.14031
237.79724,24.04701,4.77038,38495.28906,0.14473
237.55087,24.04701,4.77036,38494.75391,0.15196
237.28079,24.04704,4.77043,38494.23047,0.15877
236.99867,24.04713,4.77062,38493.70703,0.16904
236.69243,24.04726,4.7709,38493.19922,0.18021
236.38683,24.04741,4.77124,38492.69531,0.19088
236.0863,24.04759,4.77162,38492.18359,0.20138
235.78818,24.04777,4.772,38491.67578,0.21206
235.46884,24.04792,4.77234,38491.17188,0.22361
235.03929,24.04804,4.77259,38490.70312,0.23454
234.60306,24.04815,4.77282,38490.23828,0.24538
234.17256,24.04829,4.77313,38489.77344,0.25821
233.74899,24.04848,4.77352,38489.30078,0.27292
233.32893,24.04868,4.77397,38488.83984,0.28783
232.91278,24.04889,4.77441,38488.37891,0.30227
232.50053,24.04908,4.77482,38487.91797,0.31639
232.08832,24.04923,4.77516,38487.45312,0.3272
231.67865,24.04936,4.77543,38486.98047,0.34025
231.2709,24.04945,4.77563,38486.52344,0.35195
230.87071,24.04952,4.77578,38486.05078,0.36347
230.47069,24.04958,4.77589,38485.58203,0.37496
230.07474,24.04961,4.77597,38485.11719,0.38658
229.68034,24.04965,4.77605,38484.65625,0.39807
229.29544,24.04967,4.77611,38484.19141,0.41035
228.91208,24.0497,4.77616,38483.72656,0.42215
228.53308,24.04972,4.77621,38483.25391,0.43395
228.15616,24.04974,4.77624,38482.78906,0.4456
227.77965,24.04976,4.77627,38482.32422,0.4578
227.42555,24.04976,4.77629,38481.85938,0.46895
227.05687,24.04977,4.7763,38481.39453,0.48078
226.68983,24.04977,4.7763,38480.93359,0.49226
226.34683,24.04976,4.77629,38480.69531,0.50342
225.98668,24.04976,4.77628,38480.23047,0.51484
225.62927,24.04975,4.77626,38479.76172,0.52659
225.27411,24.04974,4.77624,38479.30078,0.53794
224.92162,24.04973,4.77622,38478.83984,0.55032
224.57422,24.04972,4.77619,38478.38281,0.56106
224.22823,24.0497,4.77616,38477.92188,0.57255
223.88628,24.04968,4.77612,38477.46484,0.58377
223.549,24.04966,4.77608,38477.00391,0.59487
223.21559,24.04965,4.77604,38476.54297,0.60613
222.8833,24.04963,4.776,38476.08594,0.61744
222.5547,24.0496,4.77595,38475.62891,0.62806
222.22993,24.04958,4.77589,38475.16797,0.63896
221.90849,24.04955,4.77584,38474.70703,0.65045
221.59082,24.04953,4.77579,38474.23828,0.66118
221.27504,24.0495,4.77574,38473.76953,0.67262
220.96281,24.04948,4.77568,38473.30078,0.68299
220.65147,24.04945,4.77563,38472.82812,0.69342
220.34216,24.04943,4.77557,38472.35938,0.70432
220.0376,24.0494,4.77552,38471.90234,0.71465
219.73318,24.04938,4.77547,38471.44141,0.72565
219.43347,24.04935,4.77541,38470.97656,0.73621
219.13643,24.04933,4.77536,38470.50781,0.74648
218.84207,24.0493,4.7753,38470.04297,0.75702
218.54861,24.04927,4.77524,38469.57422,0.76753
218.25801,24.04925,4.77518,38469.10547,0.77811
217.96936,24.04922,4.77512,38468.64453,0.78807
217.68651,24.04919,4.77507,38468.17578,0.79859
217.40509,24.04917,4.77501,38467.70312,0.80892
217.1288,24.04914,4.77496,38467.24609,0.81844
216.85632,24.04911,4.7749,38466.78516,0.82838
216.5806,24.04909,4.77484,38466.32031,0.83859
216.31073,24.04906,4.77478,38465.84766,0.84999
216.04073,24.04902,4.7747,38465.37891,0.85992
215.77345,24.04897,4.77459,38464.92188,0.86912
215.51057,24.04892,4.77447,38464.45312,0.87814
215.2495,24.04886,4.77434,38463.98438,0.88749
214.98685,24.0488,4.77422,38463.51953,0.89693
214.73352,24.04875,4.77411,38463.05469,0.90635
214.47482,24.0487,4.77402,38462.58594,0.91644
214.22237,24.04866,4.77393,38462.11719,0.92591
213.97316,24.04863,4.77385,38461.64453,0.93559
213.72578,24.04859,4.77378,38461.17578,0.9451
213.48027,24.04856,4.77371,38460.71094,0.95451
213.2347,24.04853,4.77364,38460.25,0.96396
212.99339,24.0485,4.77358,38459.78125,0.9732
212.75589,24.04848,4.77352,38459.3125,0.98246
212.51697,24.04845,4.77347,38458.85547,0.99154
212.28369,24.04842,4.77341,38458.39062,1.00062
212.05238,24.0484,4.77336,38457.92578,1.01049
211.82396,24.04837,4.77331,38457.46484,1.01885
211.59743,24.04835,4.77325,38457,1.02748
211.36989,24.04832,4.77319,38456.53125,1.03626
211.14778,24.04829,4.77313,38456.0625,1.04457
210.92787,24.04827,4.77308,38455.59766,1.05436
210.7099,24.04825,4.77303,38455.13281,1.06221
210.49092,24.04823,4.77299,38454.67188,1.07109
210.27454,24.0482,4.77294,38454.21094,1.07981
210.0614,24.04818,4.77289,38453.75,1.08806
209.8494,24.04816,4.77284,38453.28516,1.09743
209.63612,24.04814,4.77279,38452.82812,1.10482
209.42804,24.04812,4.77275,38452.35938,1.11456
209.20242,24.04809,4.7727,38451.89844,1.12349
208.75359,24.04807,4.77265,38451.49219,1.13967
208.29027,24.04811,4.77274,38451.09766,1.15793
207.83786,24.04827,4.77309,38450.69922,1.18467
207.39394,24.04852,4.77363,38450.30078,1.20963
206.9572,24.04881,4.77425,38449.89844,1.23504
206.5174,24.0491,4.77487,38449.50391,1.25769
206.07916,24.04936,4.77543,38449.10938,1.27726
205.64058,24.04958,4.7759,38448.70703,1.29692
191.76086,22.34894,1.0769,38308.10156,2.12985
192.26337,22.34864,1.07623,38307.48828,2.10346
192.75629,22.34838,1.07566,38306.86719,2.07811
193.25505,22.34815,1.07515,38306.25,2.05246
193.74762,22.34795,1.07472,38305.62891,2.02708
194.23361,22.34778,1.07434,38305.00781,2.0025
194.71762,22.34763,1.07401,38304.39062,1.97761
195.2014,22.34751,1.07373,38303.76562,1.9533
195.67909,22.3474,1.07351,38303.15625,1.92908
196.14914,22.34732,1.07332,38302.53906,1.9059
196.61758,22.34725,1.07317,38301.91797,1.88259
197.08719,22.34719,1.07305,38301.30469,1.85944
197.54813,22.34715,1.07296,38300.68359,1.83707
198.00591,22.34712,1.0729,38300.0625,1.81459
198.46063,22.34711,1.07286,38299.44922,1.7924
198.91049,22.3471,1.07284,38298.83203,1.77069
199.3623,22.3471,1.07284,38298.21094,1.749
199.80344,22.34711,1.07286,38297.58984,1.7279
200.24249,22.34712,1.07289,38296.97266,1.70699
200.67723,22.34714,1.07293,38296.35547,1.68644
201.10886,22.34717,1.07299,38295.73047,1.66627
201.53566,22.34719,1.07305,38295.11328,1.64633
201.95811,22.34723,1.07313,38294.49219,1.62667
202.37524,22.34727,1.07321,38293.875,1.60748
202.78549,22.34731,1.07331,38293.25,1.58863
203.19511,22.34736,1.07342,38292.63281,1.57025
203.60501,22.34741,1.07353,38292.01172,1.55142
204.00897,22.34746,1.07364,38291.39062,1.5331
204.40804,22.34752,1.07376,38290.76562,1.51503
204.80473,22.34757,1.07387,38290.14844,1.49739
205.1949,22.34762,1.07399,38289.52734,1.48001
205.58366,22.34768,1.07412,38288.90234,1.46272
205.96545,22.34773,1.07424,38288.27344,1.44601
206.34966,22.34779,1.07436,38287.64844,1.42915
206.72856,22.34785,1.07449,38287.02344,1.4126
207.09842,22.3479,1.07461,38286.71484,1.39637
207.46716,22.34796,1.07474,38286.09375,1.38069
207.83104,22.34802,1.07487,38285.48047,1.36497
208.19287,22.34808,1.075,38284.85547,1.34951
208.55034,22.34814,1.07513,38284.23438,1.33431
208.90001,22.3482,1.07526,38283.61328,1.31938
209.2486,22.34826,1.07539,38283,1.3048
209.59398,22.34832,1.07553,38282.37891,1.29053
209.93883,22.34838,1.07566,38281.75391,1.27609
210.27544,22.34844,1.07579,38281.13281,1.26214
210.60812,22.3485,1.07592,38280.51953,1.24826
210.93906,22.34855,1.07604,38279.89453,1.23468
211.26704,22.34861,1.07617,38279.27344,1.22131
211.59262,22.34867,1.0763,38278.65234,1.2081
211.91364,22.34873,1.07643,38278.03125,1.19504
212.23283,22.34879,1.07655,38277.41016,1.18195
212.54756,22.34884,1.07667,38276.78906,1.16933
212.85985,22.3489,1.07679,38276.16797,1.15665
213.1702,22.34895,1.07691,38275.55078,1.14426
213.47412,22.349,1.07702,38274.92578,1.1321
213.7766,22.34905,1.07714,38274.3125,1.12024
214.07413,22.3491,1.07725,38273.69922,1.10845
214.36671,22.34916,1.07736,38273.07812,1.09685
214.6575,22.34921,1.07748,38272.44922,1.08551
214.94647,22.34926,1.07759,38271.82812,1.07422
215.23264,22.34931,1.0777,38271.20312,1.06321
215.51334,22.34936,1.07781,38270.57812,1.05239
215.79297,22.34941,1.07792,38269.95703,1.04133
216.07002,22.34945,1.07802,38269.33594,1.03067
216.3448,22.3495,1.07813,38268.71484,1.02039
216.61659,22.34955,1.07823,38268.08594,1.0099
216.8828,22.3496,1.07833,38267.47266,0.99979
217.14668,22.34964,1.07843,38266.85547,0.98971
217.40656,22.34969,1.07853,38266.23047,0.97985
217.66644,22.34973,1.07863,38265.60547,0.97006
217.92238,22.34978,1.07873,38264.98828,0.9606
218.17284,22.34982,1.07883,38264.37109,0.95114
218.41975,22.34986,1.07892,38263.74609,0.94188
218.66905,22.34991,1.07902,38263.12891,0.93274
218.91479,22.34995,1.07912,38262.51172,0.92379
219.16013,22.34999,1.07921,38261.88281,0.91467
219.40269,22.35003,1.07929,38261.25781,0.90553
219.64145,22.35007,1.07938,38260.63672,0.89668
219.87909,22.35011,1.07946,38260.01562,0.88787
219.94647,22.35014,1.07953,38259.44531,0.89068
219.88295,22.3502,1.07967,38258.92969,0.88658
219.82938,22.35038,1.08006,38258.41797,0.89312
219.77951,22.35068,1.08071,38257.90234,0.90273
219.73482,22.35103,1.08148,38257.39062,0.91178
219.68663,22.35139,1.08228,38256.87891,0.9184
219.64008,22.35173,1.08302,38256.36719,0.92277
219.58966,22.35202,1.08367,38255.85938,0.92516
219.53821,22.35226,1.0842,38255.34766,0.92629
219.48364,22.35246,1.08463,38254.83984,0.92706
219.42683,22.35262,1.08497,38254.32422,0.92769
219.36879,22.35275,1.08525,38253.81641,0.92861
219.31143,22.35285,1.0855,38253.30469,0.92993
219.25229,22.35295,1.08571,38252.79688,0.93156
219.19398,22.35304,1.0859,38252.28516,0.93328
219.13818,22.35312,1.08608,38251.76953,0.93556
219.08099,22.35319,1.08625,38251.25391,0.93746
219.02451,22.35326,1.08639,38250.74219,0.9395
218.96843,22.35332,1.08653,38250.23438,0.94132
218.91246,22.35338,1.08665,38249.72656,0.94348
218.85745,22.35343,1.08676,38249.21484,0.94535
218.80167,22.35347,1.08685,38248.70312,0.94735
218.74751,22.35351,1.08694,38248.1875,0.94923
218.69115,22.35354,1.08701,38247.67188,0.95106
218.63638,22.35357,1.08708,38247.16016,0.95315
218.5802,22.3536,1.08714,38246.65234,0.95506
218.52711,22.35363,1.08719,38246.14062,0.95704
218.47382,22.35365,1.08724,38245.62891,0.95894
218.42064,22.35366,1.08728,38245.10938,0.96077
218.36836,22.35368,1.08731,38244.59766,0.96283
218.31598,22.35369,1.08734,38244.08984,0.96471
218.26538,22.35371,1.08737,38243.83594,0.96644
218.21527,22.35371,1.08739,38243.32812,0.9683
218.1644,22.35372,1.0874,38242.82031,0.96999
218.11554,22.35373,1.08742,38242.30859,0.97173
218.06544,22.35373,1.08743,38241.79688,0.97362
218.01564,22.35374,1.08744,38241.28516,0.97538
217.96756,22.35374,1.08744,38240.76953,0.97709
217.91975,22.35374,1.08745,38240.25781,0.97898
217.86981,22.35374,1.08745,38239.74609,0.98076
217.82095,22.35375,1.08746,38239.23438,0.98248
217.77399,22.35375,1.08746,38238.72266,0.98426
217.7261,22.35375,1.08746,38238.20703,0.98597
217.67799,22.35375,1.08746,38237.69141,0.98796
217.54686,22.35375,1.08746,38237.18359,0.99943
217.16397,22.35375,1.08746,38236.75391,1.0043
216.78889,22.35386,1.0877,38236.33984,1.02162
216.41266,22.3541,1.08825,38235.91406,1.04492
216.052,22.35446,1.08902,38235.48828,1.06762
215.72021,22.35485,1.08988,38235.04297,1.08975
215.35716,22.35522,1.09069,38234.61719,1.10672
214.96983,22.35554,1.09141,38234.19922,1.1233
214.57333,22.35582,1.09202,38233.79297,1.13898
214.17786,22.35607,1.09257,38233.38281,1.15445
213.78462,22.35628,1.09304,38232.97266,1.17025
213.39186,22.35647,1.09344,38232.5625,1.18549
213.00143,22.35663,1.0938,38232.16016,1.20094
212.61115,22.35677,1.0941,38231.74609,1.21638
212.2276,22.35689,1.09436,38231.33594,1.23186
211.84366,22.35699,1.09459,38230.92578,1.24764
211.4632,22.35708,1.09479,38230.51953,1.26289
211.08638,22.35716,1.09496,38230.10938,1.2784
210.71208,22.35723,1.09512,38229.69922,1.29389
210.33572,22.35729,1.09525,38229.29297,1.3098
209.96404,22.35734,1.09537,38228.88281,1.32541
209.59331,22.35739,1.09548,38228.47266,1.34141
209.23007,22.35744,1.09557,38228.05859,1.35703
208.86591,22.35747,1.09565,38227.65625,1.37249
208.50278,22.3575,1.09571,38227.24609,1.38791
208.1452,22.35752,1.09576,38226.83203,1.40357
207.78735,22.35754,1.09581,38226.42188,1.41918
207.43369,22.35756,1.09584,38226.01562,1.43473
207.08177,22.35757,1.09587,38225.60547,1.45011
206.75336,22.35758,1.09589,38225.19531,1.46478
206.4021,22.35759,1.0959,38224.79297,1.48033
206.05551,22.35759,1.09591,38224.38281,1.49589
205.71446,22.35759,1.09591,38223.96875,1.51145
205.37437,22.35759,1.0959,38223.56641,1.52676
205.03839,22.35758,1.09589,38223.15234,1.54196
204.70456,22.35757,1.09588,38222.73828,1.55689
204.37262,22.35757,1.09586,38222.33203,1.57241
204.03911,22.35756,1.09584,38221.92578,1.58749
203.70845,22.35755,1.09582,38221.51562,1.60278
203.38026,22.35754,1.0958,38221.10547,1.61841
203.05762,22.35753,1.09578,38220.69531,1.63321
202.73604,22.35752,1.09576,38220.28906,1.64881
202.41373,22.35751,1.09574,38219.87891,1.66377
202.09616,22.3575,1.09571,38219.46875,1.67901
201.78159,22.35749,1.09568,38219.06641,1.69426
201.46695,22.35747,1.09565,38218.65625,1.70913
201.15762,22.35746,1.09562,38218.24609,1.72391
200.84941,22.35744,1.09559,38217.83594,1.73865
200.54037,22.35743,1.09555,38217.43359,1.75372
200.23741,22.35741,1.09552,38217.02344,1.76841
199.93285,22.3574,1.09548,38216.61328,1.78326
199.63217,22.35738,1.09545,38216.20703,1.79845
199.33525,22.35736,1.09541,38215.79688,1.81279
199.04265,22.35734,1.09537,38215.39062,1.82728
198.74724,22.35733,1.09534,38214.98438,1.84206
198.45578,22.35731,1.0953,38214.77734,1.85671
198.16698,22.35729,1.09526,38214.36719,1.87114
197.87781,22.35728,1.09522,38213.95703,1.88571
197.59312,22.35726,1.09519,38213.55078,1.90035
197.30823,22.35724,1.09515,38213.14062,1.91474
197.02643,22.35722,1.09511,38212.73438,1.92901
196.74702,22.35721,1.09507,38212.32031,1.94337
196.46649,22.35719,1.09503,38211.91406,1.95798
196.19141,22.35717,1.09499,38211.50781,1.97225
195.91623,22.35715,1.09495,38211.09766,1.98649
195.64432,22.35713,1.09491,38210.69141,2.0011
195.3736,22.35712,1.09487,38210.28125,2.01482
195.10605,22.3571,1.09483,38209.87109,2.0287
194.83963,22.35708,1.0948,38209.46875,2.04306
194.57793,22.35707,1.09476,38209.05859,2.05684
194.31441,22.35705,1.09471,38208.64844,2.07106
194.05479,22.35703,1.09467,38208.23828,2.08457
193.79541,22.35701,1.09463,38207.83203,2.09847
193.53685,22.35699,1.09459,38207.42188,2.11225
193.27885,22.35697,1.09455,38207.01172,2.12644
193.02361,22.35695,1.09451,38206.60547,2.14022
192.77086,22.35694,1.09448,38206.19531,2.15422
192.51863,22.35692,1.09445,38205.78516,2.16769
192.26772,22.35691,1.09442,38205.375,2.18153
192.02133,22.3569,1.09438,38204.97266,2.19523
191.77315,22.35688,1.09435,38204.5625,2.20885
191.53169,22.35686,1.09431,38204.15234,2.22239
191.29094,22.35685,1.09427,38203.73828,2.23549
191.04854,22.35683,1.09423,38203.33203,2.24884
190.80759,22.35681,1.09419,38202.92578,2.26251
190.56976,22.35679,1.09415,38202.51172,2.27593
190.33397,22.35677,1.09411,38202.10938,2.28957
190.09862,22.35675,1.09407,38201.69922,2.30259
189.86819,22.35674,1.09404,38201.28906,2.31569
189.63647,22.35672,1.094,38200.88281,2.32886
189.40991,22.3567,1.09397,38200.47266,2.34156
189.18138,22.35669,1.09393,38200.0625,2.35506
188.95436,22.35667,1.09389,38199.65234,2.36781
188.73074,22.35666,1.09385,38199.24609,2.38104
188.50661,22.35664,1.09381,38198.83984,2.39397
188.28487,22.35662,1.09378,38198.42578,2.40685
188.06595,22.3566,1.09374,38198.01953,2.41974
230.88423,21.88565,0.05492,38103.0625,0.4852
232.26903,21.88585,0.05535,38101.89844,0.43949
233.63477,21.88603,0.05575,38100.72656,0.39537
234.97842,21.88622,0.05618,38099.55078,0.35402
236.29683,21.88643,0.05666,38098.37109,0.31491
237.60828,21.88669,0.05722,38097.19141,0.27787
238.89334,21.88697,0.05785,38096.00781,0.24261
240.15993,21.88728,0.05853,38094.83594,0.20863
241.41476,21.88761,0.05926,38093.66406,0.17533
242.64505,21.88794,0.05999,38092.49609,0.14316
243.86183,21.88828,0.06073,38091.32422,0.11141
245.04689,21.8886,0.06144,38090.15625,0.08048
246.22699,21.88892,0.06215,38088.98438,0.05034
247.38567,21.88923,0.06284,38087.8125,0.02045
248.51413,21.88953,0.0635,38086.63672,-0.00818
249.63324,21.88983,0.06416,38085.46094,-0.03606
250.72681,21.89012,0.06481,38084.28906,-0.0632
251.7883,21.89041,0.06546,38083.11328,-0.08906
252.82782,21.89071,0.0661,38081.93359,-0.11404
253.59601,21.88958,0.06362,38081.35156,-0.14158
254.24786,21.88981,0.06413,38080.76172,-0.1496
255.24509,21.8902,0.06498,38079.58984,-0.17347
256.22617,21.89062,0.06591,38078.41797,-0.19489
257.18735,21.89106,0.06688,38077.24219,-0.21495
258.12714,21.89149,0.06785,38076.07031,-0.23438
259.04581,21.89191,0.06877,38074.89453,-0.2542
259.94388,21.8923,0.06963,38073.72266,-0.27416
260.82083,21.89266,0.07043,38072.54297,-0.29371
261.67618,21.893,0.07117,38071.37109,-0.31281
262.51297,21.89331,0.07186,38070.19531,-0.33152
263.32996,21.89361,0.07253,38069.02734,-0.34933
264.12869,21.8939,0.07316,38067.85156,-0.36665
264.90952,21.89418,0.07379,38066.67578,-0.38326
265.67316,21.89446,0.0744,38065.50391,-0.39903
266.41708,21.89473,0.07501,38064.32812,-0.41436
267.12601,21.895,0.07559,38063.16016,-0.42874
267.82242,21.89526,0.07618,38061.99609,-0.44303
268.48914,21.89552,0.07675,38060.83594,-0.45578
269.12872,21.89577,0.07733,38059.68359,-0.46876
269.67084,21.89603,0.07788,38058.55469,-0.47825
