#a,b,type
:2016-07-04 200203000-0500:1.0,1.83972042577,1
:2016-07-04 200204000-0500:1.0,1.88563306529,1
:2016-07-04 200205000-0500:1.0,2.02851956348,1
:2016-07-04 200206000-0500:1.0,2.00679313005,1
:2016-07-04 200207000-0500:1.0,1.96872046844,1
:2016-07-04 200208000-0500:1.0,2.00328457853,1
:2016-07-04 200209000-0500:1.0,1.99803354634,1
:2016-07-04 200210000-0500:1.0,2.11928196744,1
:2016-07-04 200211000-0500:1.0,2.06400624281,1
:2016-07-04 200212000-0500:1.0,1.77562334504,1
:2016-07-04 200213000-0500:1.0,1.91309774384,1
:2016-07-04 200214000-0500:1.0,1.93857952936,1
:2016-07-04 200215000-0500:1.0,1.92953731347,1
:2016-07-04 200216000-0500:1.0,1.93342981389,1
:2016-07-04 200217000-0500:1.0,1.98501235433,1
:2016-07-04 200218000-0500:1.0,2.04594810169,1
:2016-07-04 200219000-0500:1.0,2.06748061054,1
:2016-07-04 200220000-0500:1.0,1.97877705091,1
:2016-07-04 200221000-0500:1.0,2.03143598374,1
:2016-07-04 200222000-0500:1.0,2.13993722214,1
:2016-07-04 200223000-0500:1.0,2.13647691018,1
:2016-07-04 200224000-0500:1.0,2.00345194808,1
:2016-07-04 200225000-0500:1.0,1.97267842501,1
:2016-07-04 200226000-0500:1.0,2.19008009045,1
:2016-07-04 200227000-0500:1.0,2.07584010542,1
:2016-07-04 200228000-0500:1.0,2.16333727344,1
:2016-07-04 200229000-0500:1.0,2.19303826492,1
:2016-07-04 200230000-0500:1.0,1.73884281281,1
:2016-07-04 200231000-0500:1.0,2.14809202323,1
:2016-07-04 200232000-0500:1.0,1.92790384646,1
:2016-07-04 200233000-0500:1.0,2.05780007925,1
:2016-07-04 200234000-0500:1.0,1.73774819982,1
:2016-07-04 200235000-0500:1.0,1.88230627125,1
:2016-07-04 200236000-0500:1.0,2.07573173956,1
:2016-07-04 200237000-0500:1.0,2.14999016397,1
:2016-07-04 200238000-0500:1.0,1.87994156422,1
:2016-07-04 200239000-0500:1.0,1.93775053577,1
:2016-07-04 200240000-0500:1.0,2.04601901233,1
:2016-07-04 200241000-0500:1.0,1.90977843616,1
:2016-07-04 200242000-0500:1.0,1.98215986227,1
:2016-07-04 200243000-0500:1.0,2.14879521794,1
:2016-07-04 200244000-0500:1.0,2.01193279412,1
:2016-07-04 200245000-0500:1.0,2.00433695444,1
:2016-07-04 200246000-0500:1.0,1.86487759741,1
:2016-07-04 200247000-0500:1.0,2.07129590514,1
:2016-07-04 200248000-0500:1.0,1.92371492558,1
:2016-07-04 200249000-0500:1.0,1.93777390271,1
:2016-07-04 200250000-0500:1.0,1.97361857532,1
:2016-07-04 200251000-0500:1.0,1.95506977663,1
:2016-07-04 200252000-0500:1.0,1.90167278959,1
:2016-07-04 200253000-0500:1.0,1.89249849745,1
:2016-07-04 200254000-0500:1.0,2.03188169578,1
:2016-07-04 200255000-0500:1.0,1.95340487303,1
:2016-07-04 200256000-0500:1.0,2.01277664273,1
:2016-07-04 200257000-0500:1.0,1.77040095977,1
:2016-07-04 200258000-0500:1.0,2.14044503019,1
:2016-07-04 200259000-0500:1.0,2.0625192832,1
:2016-07-04 200300000-0500:1.0,1.91456441342,1
:2016-07-04 200301000-0500:1.0,1.83754897492,1
:2016-07-04 200302000-0500:1.0,1.81483559143,1
:2016-07-04 200303000-0500:1.0,1.89340081255,1
:2016-07-04 200304000-0500:1.0,1.76421307546,1
:2016-07-04 200305000-0500:1.0,2.16456913773,1
:2016-07-04 200306000-0500:1.0,2.01949676813,1
:2016-07-04 200307000-0500:1.0,2.03146660267,1
:2016-07-04 200308000-0500:1.0,2.15387864132,1
:2016-07-04 200309000-0500:1.0,2.09428087309,1
:2016-07-04 200310000-0500:1.0,2.01802005084,1
:2016-07-04 200311000-0500:1.0,1.93833602466,1
:2016-07-04 200312000-0500:1.0,1.78313683189,1
:2016-07-04 200313000-0500:1.0,2.08959452589,1
:2016-07-04 200314000-0500:1.0,1.8691881851,1
:2016-07-04 200315000-0500:1.0,2.04723528187,1
:2016-07-04 200316000-0500:1.0,2.15725500151,1
:2016-07-04 200317000-0500:1.0,2.06369919747,1
:2016-07-04 200318000-0500:1.0,2.16924719453,1
:2016-07-04 200319000-0500:1.0,2.15787756193,1
:2016-07-04 200320000-0500:1.0,1.84540083751,1
:2016-07-04 200321000-0500:1.0,1.80732441871,1
:2016-07-04 200322000-0500:1.0,2.00363711088,1
:2016-07-04 200323000-0500:1.0,1.84206407719,1
:2016-07-04 200324000-0500:1.0,1.88978866134,1
:2016-07-04 200325000-0500:1.0,1.82456540137,1
:2016-07-04 200326000-0500:1.0,2.10497104997,1
:2016-07-04 200327000-0500:1.0,2.02622015427,1
:2016-07-04 200328000-0500:1.0,1.87690917319,1
:2016-07-04 200329000-0500:1.0,1.98219568623,1
:2016-07-04 200330000-0500:1.0,1.89507895911,1
:2016-07-04 200331000-0500:1.0,1.91480606641,1
:2016-07-04 200332000-0500:1.0,2.06659252982,1
:2016-07-04 200333000-0500:1.0,2.03232508598,1
:2016-07-04 200334000-0500:1.0,2.12728878249,1
:2016-07-04 200335000-0500:1.0,2.01507298829,1
:2016-07-04 200336000-0500:1.0,2.04614187578,1
:2016-07-04 200337000-0500:1.0,1.86498858974,1
:2016-07-04 200338000-0500:1.0,2.03029238269,1
:2016-07-04 200339000-0500:1.0,2.19849520609,1
:2016-07-04 200340000-0500:1.0,1.89663673919,1
:2016-07-04 200341000-0500:1.0,2.05527545713,1
:2016-07-04 200342000-0500:1.0,1.86810870473,1
:2016-07-04 200343000-0500:1.0,2.07358576231,1
:2016-07-04 200344000-0500:1.0,1.98713182947,1
:2016-07-04 200345000-0500:1.0,1.99433932184,1
:2016-07-04 200346000-0500:1.0,2.23225657105,1
:2016-07-04 200347000-0500:1.0,2.09134913048,1
:2016-07-04 200348000-0500:1.0,1.95898973165,1
:2016-07-04 200349000-0500:1.0,2.02043007962,1
:2016-07-04 200350000-0500:1.0,1.96902001277,1
:2016-07-04 200351000-0500:1.0,2.01156585587,1
:2016-07-04 200352000-0500:1.0,2.18873491112,1
:2016-07-04 200353000-0500:1.0,1.80823272118,1
:2016-07-04 200354000-0500:1.0,1.81437624882,1
:2016-07-04 200355000-0500:1.0,2.11295773868,1
:2016-07-04 200356000-0500:1.0,1.83850350796,1
:2016-07-04 200357000-0500:1.0,1.91823847301,1
:2016-07-04 200358000-0500:1.0,2.18963975264,1
:2016-07-04 200359000-0500:1.0,2.1225063337,1
:2016-07-04 200400000-0500:1.0,2.11723341829,1
:2016-07-04 200401000-0500:1.0,1.81559847711,1
:2016-07-04 200402000-0500:1.0,1.94456528906,1
:2016-07-04 200403000-0500:1.0,1.79998722561,1
:2016-07-04 200404000-0500:1.0,1.92579597255,1
:2016-07-04 200405000-0500:1.0,1.99798859905,1
:2016-07-04 200406000-0500:1.0,1.95924983602,1
:2016-07-04 200407000-0500:1.0,1.96996462898,1
:2016-07-04 200408000-0500:1.0,1.88623138182,1
:2016-07-04 200409000-0500:1.0,2.22909927181,1
:2016-07-04 200410000-0500:1.0,2.05006738354,1
:2016-07-04 200411000-0500:1.0,1.91062495668,1
:2016-07-04 200412000-0500:1.0,1.81935275756,1
:2016-07-04 200413000-0500:1.0,1.93513100234,1
:2016-07-04 200414000-0500:1.0,2.06218680866,1
:2016-07-04 200415000-0500:1.0,2.1538767836,1
:2016-07-04 200416000-0500:1.0,2.22132203131,1
:2016-07-04 200417000-0500:1.0,1.81464548189,1
:2016-07-04 200418000-0500:1.0,2.10134542882,1
:2016-07-04 200419000-0500:1.0,1.91914311924,1
:2016-07-04 200420000-0500:1.0,1.95546854036,1
:2016-07-04 200421000-0500:1.0,1.89257996446,1
:2016-07-04 200422000-0500:1.0,1.9166087907,1
:2016-07-04 200423000-0500:1.0,1.82260451657,1
:2016-07-04 200424000-0500:1.0,2.01990733093,1
:2016-07-04 200425000-0500:1.0,2.11044214396,1
:2016-07-04 200426000-0500:1.0,1.91667465026,1
:2016-07-04 200427000-0500:1.0,1.70949148917,1
:2016-07-04 200428000-0500:1.0,1.94182371897,1
:2016-07-04 200429000-0500:1.0,2.20035872476,1
:2016-07-04 200430000-0500:1.0,1.87709000331,1
:2016-07-04 200431000-0500:1.0,2.16138472254,1
:2016-07-04 200432000-0500:1.0,2.00903877036,1
:2016-07-04 200433000-0500:1.0,1.86416416941,1
:2016-07-04 200434000-0500:1.0,2.11226152847,1
:2016-07-04 200435000-0500:1.0,2.14705041347,1
:2016-07-04 200436000-0500:1.0,2.08842303803,1
:2016-07-04 200437000-0500:1.0,1.9909422049,1
:2016-07-04 200438000-0500:1.0,2.04442851117,1
:2016-07-04 200439000-0500:1.0,2.03462415124,1
:2016-07-04 200440000-0500:1.0,2.0803304025,1
:2016-07-04 200441000-0500:1.0,2.01350562774,1
:2016-07-04 200442000-0500:1.0,1.95775109476,1
:2016-07-04 200443000-0500:1.0,2.09331793835,1
:2016-07-04 200444000-0500:1.0,1.85381576305,1
:2016-07-04 200445000-0500:1.0,2.01582745641,1
:2016-07-04 200446000-0500:1.0,1.85047318036,1
:2016-07-04 200447000-0500:1.0,2.1198023128,1
:2016-07-04 200448000-0500:1.0,2.05651703672,1
:2016-07-04 200449000-0500:1.0,1.86431991533,1
:2016-07-04 200450000-0500:1.0,1.8305697039,1
:2016-07-04 200451000-0500:1.0,2.03777462677,1
:2016-07-04 200452000-0500:1.0,2.20248025231,1
:2016-07-04 200453000-0500:1.0,2.10157741321,1
:2016-07-04 200454000-0500:1.0,1.96379431641,1
:2016-07-04 200455000-0500:1.0,2.05548761129,1
:2016-07-04 200456000-0500:1.0,2.04116041988,1
:2016-07-04 200457000-0500:1.0,1.95784168758,1
:2016-07-04 200458000-0500:1.0,2.15550976646,1
:2016-07-04 200459000-0500:1.0,1.97877917045,1
:2016-07-04 200500000-0500:1.0,1.91796235807,1
:2016-07-04 200501000-0500:1.0,1.95243688732,1
:2016-07-04 200502000-0500:1.0,2.07010960844,1
:2016-07-04 200503000-0500:1.0,2.16127588465,1
:2016-07-04 200504000-0500:1.0,2.12565590891,1
:2016-07-04 200505000-0500:1.0,2.2029126438,1
:2016-07-04 200506000-0500:1.0,2.04039464444,1
:2016-07-04 200507000-0500:1.0,2.06705380802,1
:2016-07-04 200508000-0500:1.0,1.92759258913,1
:2016-07-04 200509000-0500:1.0,1.91369501382,1
:2016-07-04 200510000-0500:1.0,2.20380156953,1
:2016-07-04 200511000-0500:1.0,2.08835851125,1
:2016-07-04 200512000-0500:1.0,1.91850295693,1
:2016-07-04 200513000-0500:1.0,2.06969175936,1
:2016-07-04 200514000-0500:1.0,1.95136065346,1
:2016-07-04 200515000-0500:1.0,2.0269103788,1
:2016-07-04 200516000-0500:1.0,2.03956439293,1
:2016-07-04 200517000-0500:1.0,1.99420059434,1
:2016-07-04 200518000-0500:1.0,2.03604037857,1
:2016-07-04 200519000-0500:1.0,1.89465056115,1
:2016-07-04 200520000-0500:1.0,2.05765459826,1
:2016-07-04 200521000-0500:1.0,1.96347300407,1
:2016-07-04 200522000-0500:1.0,1.96573052685,1
:2016-07-04 200523000-0500:1.0,1.86526213301,1
:2016-07-04 200524000-0500:1.0,1.96899550577,1
:2016-07-04 200525000-0500:1.0,1.97185161566,1
:2016-07-04 200526000-0500:1.0,1.90649927531,1
:2016-07-04 200527000-0500:1.0,2.06994847755,1
:2016-07-04 200528000-0500:1.0,1.81365459298,1
:2016-07-04 200529000-0500:1.0,2.09576167548,1
:2016-07-04 200530000-0500:1.0,1.88064485779,1
:2016-07-04 200531000-0500:1.0,2.12177119303,1
:2016-07-04 200532000-0500:1.0,1.97112471318,1
:2016-07-04 200533000-0500:1.0,2.03087075104,1
:2016-07-04 200534000-0500:1.0,2.11918567882,1
:2016-07-04 200535000-0500:1.0,2.01357785203,1
:2016-07-04 200536000-0500:1.0,1.74061143873,1
:2016-07-04 200537000-0500:1.0,2.01173635352,1
:2016-07-04 200538000-0500:1.0,1.85785175612,1
:2016-07-04 200539000-0500:1.0,2.14974022746,1
:2016-07-04 200540000-0500:1.0,2.0159585875,1
:2016-07-04 200541000-0500:1.0,2.13851394804,1
:2016-07-04 200542000-0500:1.0,1.96072701769,1
:2016-07-04 200543000-0500:1.0,2.0595912977,1
:2016-07-04 200544000-0500:1.0,2.13611072562,1
:2016-07-04 200545000-0500:1.0,1.97269480981,1
:2016-07-04 200546000-0500:1.0,2.03481855868,1
:2016-07-04 200547000-0500:1.0,1.98124934398,1
:2016-07-04 200548000-0500:1.0,2.09921871078,1
:2016-07-04 200549000-0500:1.0,1.91571521264,1
:2016-07-04 200550000-0500:1.0,1.95776627817,1
:2016-07-04 200551000-0500:1.0,1.90129699506,1
:2016-07-04 200552000-0500:1.0,1.93883950805,1
:2016-07-04 200553000-0500:1.0,1.92437400754,1
:2016-07-04 200554000-0500:1.0,2.07444462454,1
:2016-07-04 200555000-0500:1.0,1.98785943865,1
:2016-07-04 200556000-0500:1.0,1.85098690642,1
:2016-07-04 200557000-0500:1.0,2.04147595651,1
:2016-07-04 200558000-0500:1.0,1.80422106903,1
:2016-07-04 200559000-0500:1.0,1.74682571593,1
:2016-07-04 200600000-0500:1.0,1.81653170031,1
:2016-07-04 200601000-0500:1.0,2.04817767954,1
:2016-07-04 200602000-0500:1.0,1.96653131322,1
:2016-07-04 200603000-0500:1.0,2.06861305634,1
:2016-07-04 200604000-0500:1.0,1.92261232921,1
:2016-07-04 200605000-0500:1.0,2.10556412915,1
:2016-07-04 200606000-0500:1.0,1.93186843801,1
:2016-07-04 200607000-0500:1.0,1.93028895588,1
:2016-07-04 200608000-0500:1.0,2.11757331026,1
:2016-07-04 200609000-0500:1.0,2.1929881387,1
:2016-07-04 200610000-0500:1.0,2.06085534476,1
:2016-07-04 200611000-0500:1.0,2.09618603873,1
:2016-07-04 200612000-0500:1.0,1.96975926829,1
:2016-07-04 200613000-0500:1.0,2.07105342173,1
:2016-07-04 200614000-0500:1.0,2.07773219259,1
:2016-07-04 200615000-0500:1.0,2.01671246825,1
:2016-07-04 200616000-0500:1.0,1.94583179402,1
:2016-07-04 200617000-0500:1.0,1.94282879374,1
:2016-07-04 200618000-0500:1.0,2.03782658315,1
:2016-07-04 200619000-0500:1.0,2.04876282695,1
:2016-07-04 200620000-0500:1.0,1.90059837446,1
:2016-07-04 200621000-0500:1.0,1.99348361303,1
:2016-07-04 200622000-0500:1.0,2.02052951111,1
:2016-07-04 200623000-0500:1.0,2.04376283883,1
:2016-07-04 200624000-0500:1.0,2.01658466125,1
:2016-07-04 200625000-0500:1.0,2.05428289345,1
:2016-07-04 200626000-0500:1.0,1.71328852548,1
:2016-07-04 200627000-0500:1.0,2.05270704128,1
:2016-07-04 200628000-0500:1.0,1.90913362152,1
:2016-07-04 200629000-0500:1.0,1.99782682708,1
:2016-07-04 200630000-0500:1.0,1.88282226559,1
:2016-07-04 200631000-0500:1.0,2.05778596475,1
:2016-07-04 200632000-0500:1.0,1.93832551659,1
:2016-07-04 200633000-0500:1.0,1.86036952284,1
:2016-07-04 200634000-0500:1.0,2.01395562705,1
:2016-07-04 200635000-0500:1.0,1.90095841186,1
:2016-07-04 200636000-0500:1.0,2.07918754435,1
:2016-07-04 200637000-0500:1.0,1.98876347624,1
:2016-07-04 200638000-0500:1.0,2.18152677262,1
:2016-07-04 200639000-0500:1.0,2.12565140766,1
:2016-07-04 200640000-0500:1.0,2.0048264695,1
:2016-07-04 200641000-0500:1.0,2.09677335424,1
:2016-07-04 200642000-0500:1.0,2.03087740552,1
:2016-07-04 200643000-0500:1.0,2.11519230685,1
:2016-07-04 200644000-0500:1.0,1.99608262045,1
:2016-07-04 200645000-0500:1.0,1.89285127393,1
:2016-07-04 200646000-0500:1.0,2.05891339572,1
:2016-07-04 200647000-0500:1.0,1.91864014544,1
:2016-07-04 200648000-0500:1.0,2.15464244213,1
:2016-07-04 200649000-0500:1.0,2.14962476002,1
:2016-07-04 200650000-0500:1.0,2.07380081618,1
:2016-07-04 200651000-0500:1.0,2.03676509387,1
:2016-07-04 200652000-0500:1.0,2.06463973819,1
:2016-07-04 200653000-0500:1.0,2.17527157093,1
:2016-07-04 200654000-0500:1.0,2.05651986724,1
:2016-07-04 200655000-0500:1.0,2.09429852979,1
:2016-07-04 200656000-0500:1.0,1.97380619545,1
:2016-07-04 200657000-0500:1.0,1.9112275793,1
:2016-07-04 200658000-0500:1.0,2.05663352933,1
:2016-07-04 200659000-0500:1.0,2.16510071336,1
:2016-07-04 200700000-0500:1.0,1.91390463425,1
:2016-07-04 200701000-0500:1.0,2.1272246402,1
:2016-07-04 200702000-0500:1.0,1.89206910412,1
:2016-07-04 200703000-0500:1.0,2.03845412377,1
:2016-07-04 200704000-0500:1.0,1.89108856143,1
:2016-07-04 200705000-0500:1.0,1.93375842628,1
:2016-07-04 200706000-0500:1.0,1.92186887981,1
:2016-07-04 200707000-0500:1.0,2.11309378173,1
:2016-07-04 200708000-0500:1.0,2.09287604007,1
:2016-07-04 200709000-0500:1.0,1.98917798624,1
:2016-07-04 200710000-0500:1.0,2.04813251141,1
:2016-07-04 200711000-0500:1.0,2.03936676579,1
:2016-07-04 200712000-0500:1.0,1.91767165588,1
:2016-07-04 200713000-0500:1.0,2.05731194545,1
:2016-07-04 200714000-0500:1.0,2.02288654906,1
:2016-07-04 200715000-0500:1.0,2.10644983784,1
:2016-07-04 200716000-0500:1.0,1.93179390318,1
:2016-07-04 200717000-0500:1.0,2.1123455388,1
:2016-07-04 200718000-0500:1.0,1.99109632312,1
:2016-07-04 200719000-0500:1.0,1.9015123557,1
:2016-07-04 200720000-0500:1.0,1.8997669578,1
:2016-07-04 200721000-0500:1.0,2.05739343115,1
:2016-07-04 200722000-0500:1.0,1.82523748033,1
:2016-07-04 200723000-0500:1.0,1.99958179039,1
:2016-07-04 200724000-0500:1.0,1.9825149605,1
:2016-07-04 200725000-0500:1.0,1.83295692777,1
:2016-07-04 200726000-0500:1.0,1.87565719658,1
:2016-07-04 200727000-0500:1.0,2.00500916357,1
:2016-07-04 200728000-0500:1.0,2.10553209028,1
:2016-07-04 200729000-0500:1.0,1.85095705892,1
:2016-07-04 200730000-0500:1.0,1.80401323435,1
:2016-07-04 200731000-0500:1.0,1.9749021278,1
:2016-07-04 200732000-0500:1.0,1.94237059666,1
:2016-07-04 200733000-0500:1.0,2.02449230751,1
:2016-07-04 200734000-0500:1.0,2.09702001217,1
:2016-07-04 200735000-0500:1.0,2.18706597275,1
:2016-07-04 200736000-0500:1.0,2.0365817655,1
:2016-07-04 200737000-0500:1.0,2.0251831756,1
:2016-07-04 200738000-0500:1.0,1.88289836159,1
:2016-07-04 200739000-0500:1.0,1.98100097864,1
:2016-07-04 200740000-0500:1.0,2.18631378464,1
:2016-07-04 200741000-0500:1.0,2.13886805711,1
:2016-07-04 200742000-0500:1.0,2.07929972135,1
:2016-07-04 200743000-0500:1.0,2.00592542957,1
:2016-07-04 200744000-0500:1.0,2.13411385836,1
:2016-07-04 200745000-0500:1.0,2.08509240624,1
:2016-07-04 200746000-0500:1.0,2.01217147142,1
:2016-07-04 200747000-0500:1.0,1.97910479228,1
:2016-07-04 200748000-0500:1.0,1.90061959835,1
:2016-07-04 200749000-0500:1.0,1.89951535432,1
:2016-07-04 200750000-0500:1.0,2.01655361501,1
:2016-07-04 200751000-0500:1.0,2.06689031198,1
:2016-07-04 200752000-0500:1.0,2.02677167159,1
:2016-07-04 200753000-0500:1.0,2.13655568694,1
:2016-07-04 200754000-0500:1.0,2.16815888607,1
:2016-07-04 200755000-0500:1.0,2.01756881318,1
:2016-07-04 200756000-0500:1.0,2.00739766374,1
:2016-07-04 200757000-0500:1.0,2.07731356457,1
:2016-07-04 200758000-0500:1.0,2.17799254637,1
:2016-07-04 200759000-0500:1.0,1.96304638428,1
:2016-07-04 200800000-0500:1.0,1.98550282793,1
:2016-07-04 200801000-0500:1.0,2.06264384946,1
:2016-07-04 200802000-0500:1.0,1.89092932132,1
:2016-07-04 200803000-0500:1.0,1.93255714838,1
:2016-07-04 200804000-0500:1.0,2.07702348298,1
:2016-07-04 200805000-0500:1.0,1.87956554875,1
:2016-07-04 200806000-0500:1.0,1.8658369267,1
:2016-07-04 200807000-0500:1.0,1.95471185452,1
:2016-07-04 200808000-0500:1.0,2.16282930123,1
:2016-07-04 200809000-0500:1.0,1.84651645714,1
:2016-07-04 200810000-0500:1.0,2.0124584179,1
:2016-07-04 200811000-0500:1.0,2.20075744233,1
:2016-07-04 200812000-0500:1.0,2.06030922487,1
:2016-07-04 200813000-0500:1.0,1.92733948748,1
:2016-07-04 200814000-0500:1.0,2.01406581506,1
:2016-07-04 200815000-0500:1.0,1.8401885987,1
:2016-07-04 200816000-0500:1.0,1.86647608581,1
:2016-07-04 200817000-0500:1.0,1.90010118421,1
:2016-07-04 200818000-0500:1.0,2.08556922843,1
:2016-07-04 200819000-0500:1.0,1.96569816941,1
